Neighborhood,Borough,Date,Longitude,Latitude,Type,Median_Rent
Astoria,Queens,2012-09-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2425
Astoria,Queens,2012-10-01,-73.91565374304234,40.76850859335492,One_Bedroom,2100
Astoria,Queens,2012-10-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2395
Astoria,Queens,2012-10-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2650
Astoria,Queens,2012-11-01,-73.91565374304234,40.76850859335492,Studio,1275
Astoria,Queens,2012-11-01,-73.91565374304234,40.76850859335492,One_Bedroom,1950
Astoria,Queens,2012-11-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2100
Astoria,Queens,2012-11-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2500
Astoria,Queens,2012-12-01,-73.91565374304234,40.76850859335492,Studio,1750
Astoria,Queens,2012-12-01,-73.91565374304234,40.76850859335492,One_Bedroom,1795
Astoria,Queens,2012-12-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2100
Astoria,Queens,2012-12-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2700
Astoria,Queens,2013-01-01,-73.91565374304234,40.76850859335492,Studio,1350
Astoria,Queens,2013-01-01,-73.91565374304234,40.76850859335492,One_Bedroom,1623
Astoria,Queens,2013-01-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2100
Astoria,Queens,2013-01-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2500
Astoria,Queens,2013-02-01,-73.91565374304234,40.76850859335492,Studio,1575
Astoria,Queens,2013-02-01,-73.91565374304234,40.76850859335492,One_Bedroom,1700
Astoria,Queens,2013-02-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2000
Astoria,Queens,2013-02-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2599
Astoria,Queens,2013-03-01,-73.91565374304234,40.76850859335492,Studio,1525
Astoria,Queens,2013-03-01,-73.91565374304234,40.76850859335492,One_Bedroom,1699
Astoria,Queens,2013-03-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2000
Astoria,Queens,2013-03-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2700
Astoria,Queens,2013-04-01,-73.91565374304234,40.76850859335492,Studio,1600
Astoria,Queens,2013-04-01,-73.91565374304234,40.76850859335492,One_Bedroom,1750
Astoria,Queens,2013-04-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2200
Astoria,Queens,2013-04-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3000
Astoria,Queens,2013-05-01,-73.91565374304234,40.76850859335492,Studio,1600
Astoria,Queens,2013-05-01,-73.91565374304234,40.76850859335492,One_Bedroom,1900
Astoria,Queens,2013-05-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2300
Astoria,Queens,2013-05-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2850
Astoria,Queens,2013-06-01,-73.91565374304234,40.76850859335492,Studio,1650
Astoria,Queens,2013-06-01,-73.91565374304234,40.76850859335492,One_Bedroom,1863
Astoria,Queens,2013-06-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2300
Astoria,Queens,2013-06-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2800
Astoria,Queens,2013-07-01,-73.91565374304234,40.76850859335492,Studio,1499
Astoria,Queens,2013-07-01,-73.91565374304234,40.76850859335492,One_Bedroom,1934
Astoria,Queens,2013-07-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2350
Astoria,Queens,2013-07-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2650
Astoria,Queens,2013-08-01,-73.91565374304234,40.76850859335492,Studio,1538
Astoria,Queens,2013-08-01,-73.91565374304234,40.76850859335492,One_Bedroom,1900
Astoria,Queens,2013-08-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2200
Astoria,Queens,2013-08-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2750
Astoria,Queens,2013-09-01,-73.91565374304234,40.76850859335492,Studio,1538
Astoria,Queens,2013-09-01,-73.91565374304234,40.76850859335492,One_Bedroom,1900
Astoria,Queens,2013-09-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2250
Astoria,Queens,2013-09-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2900
Astoria,Queens,2013-10-01,-73.91565374304234,40.76850859335492,Studio,1500
Astoria,Queens,2013-10-01,-73.91565374304234,40.76850859335492,One_Bedroom,1900
Astoria,Queens,2013-10-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2200
Astoria,Queens,2013-10-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3000
Astoria,Queens,2013-11-01,-73.91565374304234,40.76850859335492,Studio,1750
Astoria,Queens,2013-11-01,-73.91565374304234,40.76850859335492,One_Bedroom,1850
Astoria,Queens,2013-11-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2200
Astoria,Queens,2013-11-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3000
Astoria,Queens,2013-12-01,-73.91565374304234,40.76850859335492,Studio,1750
Astoria,Queens,2013-12-01,-73.91565374304234,40.76850859335492,One_Bedroom,1800
Astoria,Queens,2013-12-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2150
